CUSTOMER_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE_NUMBER,ADDRESS,CITY,STATE,ZIP_CODE,COUNTRY,DATE_OF_BIRTH
760,Raj,Singh,raj.singh@example.com,UNKNOWN,Nan,Ahmedabad,Uttar Pradesh,X119941,India,2000-01-01
1539,Priya,Patel,priya.patel@example.com,UNKNOWN,Nan,Hyderabad,Uttar Pradesh,X159938,India,1968-01-01
4243,Isha,Mehta,isha.mehta@example.com,UNKNOWN,Nan,Delhi,Rajasthan,X588287,India,1978-01-01
11112,Neha,Kumar,neha.kumar@example.com,UNKNOWN,Nan,Chennai,Tamil Nadu,X287884,India,1995-01-01
13800,Priya,Kumar,priya.kumar@example.com,UNKNOWN,Nan,Mumbai,Karnataka,X394458,India,1977-01-01
15755,Raj,Kumar,raj.kumar@example.com,UNKNOWN,Nan,Chennai,Maharashtra,X541720,India,1983-01-01
17709,Deepa,Gupta,deepa.gupta@example.com,UNKNOWN,Nan,Delhi,Uttar Pradesh,X561118,India,1998-01-01
20806,Priya,Singh,priya.singh@example.com,UNKNOWN,Nan,Mumbai,Gujarat,X789623,India,2000-01-01
24060,Neha,Gupta,neha.gupta@example.com,UNKNOWN,Nan,Chennai,Gujarat,X845723,India,1986-01-01
30330,Neha,Khan,neha.khan@example.com,UNKNOWN,Nan,Pune,Tamil Nadu,X540769,India,1989-01-01
36560,Deepa,Kumar,deepa.kumar@example.com,UNKNOWN,Nan,Ahmedabad,Maharashtra,X552488,India,1976-01-01
43707,Deepa,Patel,deepa.patel@example.com,UNKNOWN,Nan,Lucknow,Gujarat,X853340,India,1959-01-01
43855,Sanjay,Shah,sanjay.shah@example.com,UNKNOWN,Nan,Jaipur,Maharashtra,X397264,India,1987-01-01
44037,Sanjay,Shah,sanjay.shah@example.com,UNKNOWN,Nan,Pune,Maharashtra,X160692,India,1957-01-01
45143,Sanjay,Sharma,sanjay.sharma@example.com,UNKNOWN,Nan,Bangalore,West Bengal,X162778,India,1962-01-01
